date,return,ic,decile_spread,turnover,n_holdings,holdings_missing_return
2019-01-01,0.12906985675265772,0.023529184247416953,-0.0019556846172675557,1.0,340,0
2019-02-01,0.054675185590281374,0.03664285682396048,0.02649438099227261,0.0440486458513024,341,0
2019-03-01,-0.035456486083957635,-0.1796214868838293,-0.04470992932770676,0.04105571847507331,341,0
2019-04-01,0.02464631543041254,-0.05046782501102459,-0.01693089966555499,0.0380631441751985,342,0
2019-05-01,-0.10582138560289749,-0.13108106954174764,-0.04922002385332605,0.014594308901505464,343,0
2019-06-01,0.08159054042905221,-0.0039158855873990045,0.0016845106188394937,0.03211259441119806,342,0
2019-07-01,0.0002165872724524615,-0.007237993015367373,-0.00158444640980424,0.9329355365157079,344,0
2019-08-01,-0.07148637424518467,-0.1209301081763912,-0.046710732238545646,0.040697674418604654,344,0
2019-09-01,0.07366931158822927,0.17156673891744914,0.04965151998027599,0.046511627906976744,344,0
2019-10-01,0.020282852913149227,0.02171016137401162,-0.009490691906843261,0.06675935288169868,345,0
2019-11-01,0.020992526075240877,-0.030830215959095686,0.004005765214534614,0.06095382541287496,344,0
2019-12-01,0.039740116043731046,-0.0042621195244769055,-0.0025092975536192587,0.046511627906976744,344,0
2020-01-01,-0.06024127219849884,-0.1716824701318733,-0.05879256635965031,0.05514829794405123,345,0
2020-02-01,-0.10942147956960088,-0.06115065369396502,-0.02244569130469351,0.054988690625785375,346,0
2020-03-01,-0.26916610239299965,-0.08129996150708459,-0.067118635802417,0.03468208092485549,346,0
2020-04-01,0.23886558056479598,0.13109761822354674,0.13819635948281733,0.12716763005780346,346,0
2020-05-01,0.07951473091528907,-0.02281880473662689,0.012886006326845043,0.07214605787010045,347,1
2020-06-01,0.04174728252401658,0.06106338153554324,0.04347105374147637,0.069164265129683,347,0
2020-07-01,0.03790822399561012,-0.0725842683862782,-0.017958341705135453,0.8371208599896895,341,0
2020-08-01,0.05984132221063415,0.06309306239871869,0.052687515920743,0.04105571847507331,341,0
2020-09-01,-0.04272671035283454,-0.1110277672880203,-0.022528210332759865,0.04676692629293024,343,0
2020-10-01,0.01567280353705511,0.00215077364360762,0.011903994280891325,0.06695369177571361,344,0
2020-11-01,0.2543762346517951,0.1983839784263157,0.14515128467377525,0.06395348837209303,344,0
2020-12-01,0.07040593658006396,0.07895651231760896,0.040308481863633706,0.06675935288169868,345,0
2021-01-01,0.1110611003403845,0.1734381019300735,0.18942539250631782,0.04057971014492753,345,0
2021-02-01,0.11333269310513296,0.1467651806183431,0.060506649586023156,0.05217391304347826,345,0
2021-03-01,0.04374494756193021,0.018035611656821375,0.03366667289235872,0.03183379408561615,346,0
2021-04-01,0.02473575947835151,-0.15577933416050088,-0.03770120721163747,0.046242774566473986,346,0
2021-05-01,0.039787118118401514,0.11699547003561613,0.04838059647854676,0.031741933334443875,347,0
2021-06-01,0.00650220610726496,-0.022649287710547066,0.019446711952981886,0.02881844380403458,347,0
2021-07-01,-0.024919981823603186,-0.17700253632491175,-0.03314454419058776,0.8398244240475754,346,0
2021-08-01,0.007871161541531611,-0.11537906732102197,-0.01826564042008796,0.04046242774566474,346,0
2021-09-01,-0.025675561560237974,0.040714173139032715,0.009225391510165937,0.06358381502890173,346,0
2021-10-01,0.03311315476428633,-0.1797879759345659,-0.058431698116426005,0.04046242774566474,346,0
2021-11-01,-0.012857807805877676,0.028787284354757997,0.02392127608406398,0.03468208092485549,346,0
2021-12-01,0.04275438739964075,0.008071347041737427,-0.00817004309805976,0.05202312138728324,346,0
2022-01-01,-0.05526784220509654,0.023611885079331187,0.0071247618241125354,0.057803468208092484,346,0
2022-02-01,0.005082617408026736,0.029333571630395912,0.02476419634744636,0.043285968916060034,347,0
